Time,[s],,Analyzer,Name,,Decoded,Protocol,Result
0.5611585,I2C,'2',(0x02),+,ACK,,,
0.56147075,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.561687,I2C,o,(0x6F),+,ACK,,,
0.56190325,I2C,'3',(0x03),+,ACK,,,
0.5622155,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.56243175,I2C,o,(0x6F),+,ACK,,,
0.56264825,I2C,'4',(0x04),+,ACK,,,
0.5629605,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.56317675,I2C,o,(0x6F),+,ACK,,,
0.563393,I2C,'5',(0x05),+,ACK,,,
0.56370525,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5639215,I2C,o,(0x6F),+,ACK,,,
0.56413775,I2C,'6',(0x06),+,ACK,,,
0.56445,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.56466625,I2C,o,(0x6F),+,ACK,,,
0.5648825,I2C,'7',(0x07),+,ACK,,,
0.56519475,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.565411,I2C,o,(0x6F),+,ACK,,,
0.56562725,I2C,'8',(0x08),+,ACK,,,
0.5659395,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.56615575,I2C,o,(0x6F),+,ACK,,,
0.566372,I2C,\t,(0x09),+,ACK,,,
0.56668425,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5669005,I2C,o,(0x6F),+,ACK,,,
0.56711675,I2C,\n,(0x0A),+,ACK,,,
0.56746825,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5676845,I2C,m,(0x6D),+,ACK,,,
0.5679005,I2C,'0',(0x00),+,ACK,,,
0.568216,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.56843225,I2C,n,(0x6E),+,ACK,,,
0.56864825,I2C,'0',(0x00),+,ACK,,,
0.56898475,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.569201,I2C,o,(0x6F),+,ACK,,,
0.56945325,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5696695,I2C,'251',(0xFB),+,NAK,,,
0.56999075,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.570207,I2C,o,(0x6F),+,ACK,,,
0.57045925,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5706755,I2C,'253',(0xFD),+,NAK,,,
0.57099675,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.571213,I2C,o,(0x6F),+,ACK,,,
0.57146525,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5716815,I2C,'255',(0xFF),+,NAK,,,
0.57200275,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.572219,I2C,o,(0x6F),+,ACK,,,
0.57247125,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5726875,I2C,'1',(0x01),+,NAK,,,
0.573009,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.57322525,I2C,o,(0x6F),+,ACK,,,
0.5734775,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.57369375,I2C,'3',(0x03),+,NAK,,,
0.574015,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.57423125,I2C,o,(0x6F),+,ACK,,,
0.5744835,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5747,I2C,'5',(0x05),+,NAK,,,
0.57502125,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5752375,I2C,o,(0x6F),+,ACK,,,
0.57548975,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.575706,I2C,'7',(0x07),+,NAK,,,
0.5760275,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5762435,I2C,o,(0x6F),+,ACK,,,
0.576496,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.57671225,I2C,\t,(0x09),+,NAK,,,
0.5770335,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.57724975,I2C,o,(0x6F),+,ACK,,,
0.577502,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.57771825,I2C,'0',(0x00),+,NAK,,,
0.5780395,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.578256,I2C,o,(0x6F),+,ACK,,,
0.57850825,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.57872425,I2C,&,(0x26),+,NAK,,,
0.57904575,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.579262,I2C,o,(0x6F),+,ACK,,,
0.57951425,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5797305,I2C,S,(0x53),+,NAK,,,
0.58005175,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.580268,I2C,o,(0x6F),+,ACK,,,
0.5805205,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5807365,I2C,F,(0x46),+,NAK,,,
0.581058,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.58127425,I2C,o,(0x6F),+,ACK,,,
0.5815265,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.58174275,I2C,'0',(0x00),+,NAK,,,
0.582064,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.58228025,I2C,o,(0x6F),+,ACK,,,
0.5825325,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.58274875,I2C,'0',(0x00),+,NAK,,,
0.58307025,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5832865,I2C,o,(0x6F),+,ACK,,,
0.583539,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.583755,I2C,*,(0x2A),+,NAK,,,
0.5840765,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.58429275,I2C,o,(0x6F),+,ACK,,,
0.584545,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.58476125,I2C,@,(0x40),+,NAK,,,
