Time [s], Analyzer Name, Decoded Protocol Result
0.413686750000000,I2C,Setup Write to [0xD0] + ACK
0.413903000000000,I2C,0x6A + ACK
0.414119250000000,I2C,0x00 + ACK
0.457113000000000,I2C,Setup Write to [0xD0] + ACK
0.457329250000000,I2C,0x25 + ACK
0.457545500000000,I2C,0x68 + ACK
0.490496500000000,I2C,Setup Write to [0xD0] + ACK
0.490712750000000,I2C,0x6A + ACK
0.490965000000000,I2C,Setup Read to [0xD1] + ACK
0.491181250000000,I2C,0x00 + NAK
0.491517750000000,I2C,Setup Write to [0xD0] + ACK
0.491733750000000,I2C,0x6A + ACK
0.491950000000000,I2C,0x02 + ACK
0.553255000000000,I2C,Setup Write to [0xD0] + ACK
0.553471500000000,I2C,0x6D + ACK
0.553687750000000,I2C,0x00 + ACK
0.554003000000000,I2C,Setup Write to [0xD0] + ACK
0.554219250000000,I2C,0x6E + ACK
0.554435500000000,I2C,0x00 + ACK
0.555527750000000,I2C,Setup Write to [0xD0] + ACK
0.555744000000000,I2C,0x6F + ACK
0.555960250000000,I2C,0xFB + ACK
0.556272750000000,I2C,Setup Write to [0xD0] + ACK
0.556488750000000,I2C,0x6F + ACK
0.556705250000000,I2C,0xFC + ACK
0.557017500000000,I2C,Setup Write to [0xD0] + ACK
0.557233750000000,I2C,0x6F + ACK
0.557449750000000,I2C,0xFD + ACK
0.557762250000000,I2C,Setup Write to [0xD0] + ACK
0.557978500000000,I2C,0x6F + ACK
0.558194500000000,I2C,0xFE + ACK
0.558506750000000,I2C,Setup Write to [0xD0] + ACK
0.558723250000000,I2C,0x6F + ACK
0.558939250000000,I2C,0xFF + ACK
0.559251500000000,I2C,Setup Write to [0xD0] + ACK
0.559467750000000,I2C,0x6F + ACK
0.559684000000000,I2C,0x00 + ACK
0.559996500000000,I2C,Setup Write to [0xD0] + ACK
0.560212750000000,I2C,0x6F + ACK
0.560428750000000,I2C,0x01 + ACK
0.560741250000000,I2C,Setup Write to [0xD0] + ACK
0.560957500000000,I2C,0x6F + ACK
0.561173750000000,I2C,0x02 + ACK
0.561486000000000,I2C,Setup Write to [0xD0] + ACK
0.561702250000000,I2C,0x6F + ACK
0.561918500000000,I2C,0x03 + ACK
0.562230750000000,I2C,Setup Write to [0xD0] + ACK
0.562447000000000,I2C,0x6F + ACK
0.562663250000000,I2C,0x04 + ACK
0.562975500000000,I2C,Setup Write to [0xD0] + ACK
0.563191750000000,I2C,0x6F + ACK
0.563408000000000,I2C,0x05 + ACK
0.563720250000000,I2C,Setup Write to [0xD0] + ACK
0.563936500000000,I2C,0x6F + ACK
0.564152750000000,I2C,0x06 + ACK
0.564465000000000,I2C,Setup Write to [0xD0] + ACK
0.564681500000000,I2C,0x6F + ACK
0.564897750000000,I2C,0x07 + ACK
0.565210000000000,I2C,Setup Write to [0xD0] + ACK
0.565426250000000,I2C,0x6F + ACK
0.565642750000000,I2C,0x08 + ACK
0.565955000000000,I2C,Setup Write to [0xD0] + ACK
0.566171250000000,I2C,0x6F + ACK
0.566387500000000,I2C,0x09 + ACK
0.566699750000000,I2C,Setup Write to [0xD0] + ACK
0.566916000000000,I2C,0x6F + ACK
0.567132000000000,I2C,0x0A + ACK
0.567483500000000,I2C,Setup Write to [0xD0] + ACK
0.567699500000000,I2C,0x6D + ACK
0.567915750000000,I2C,0x00 + ACK
0.568231000000000,I2C,Setup Write to [0xD0] + ACK
0.568447250000000,I2C,0x6E + ACK
0.568663500000000,I2C,0x00 + ACK
0.568999750000000,I2C,Setup Write to [0xD0] + ACK
0.569216000000000,I2C,0x6F + ACK
0.569468000000000,I2C,Setup Read to [0xD1] + ACK
0.569684250000000,I2C,0xFB + NAK
0.570005500000000,I2C,Setup Write to [0xD0] + ACK
0.570221750000000,I2C,0x6F + ACK
0.570474000000000,I2C,Setup Read to [0xD1] + ACK
0.570690250000000,I2C,0xFD + NAK
0.571011750000000,I2C,Setup Write to [0xD0] + ACK
0.571228000000000,I2C,0x6F + ACK
0.571480250000000,I2C,Setup Read to [0xD1] + ACK
0.571696500000000,I2C,0xFF + NAK
0.572017750000000,I2C,Setup Write to [0xD0] + ACK
0.572233750000000,I2C,0x6F + ACK
0.572486000000000,I2C,Setup Read to [0xD1] + ACK
0.572702250000000,I2C,0x01 + NAK
0.573023500000000,I2C,Setup Write to [0xD0] + ACK
0.573239500000000,I2C,0x6F + ACK
0.573492000000000,I2C,Setup Read to [0xD1] + ACK
0.573708000000000,I2C,0x03 + NAK
0.574029250000000,I2C,Setup Write to [0xD0] + ACK
0.574245500000000,I2C,0x6F + ACK
0.574497750000000,I2C,Setup Read to [0xD1] + ACK
0.574714000000000,I2C,0x05 + NAK
0.575035250000000,I2C,Setup Write to [0xD0] + ACK
0.575251500000000,I2C,0x6F + ACK
0.575503750000000,I2C,Setup Read to [0xD1] + ACK
0.575720000000000,I2C,0x07 + NAK
0.576041250000000,I2C,Setup Write to [0xD0] + ACK
0.576257500000000,I2C,0x6F + ACK
0.576509750000000,I2C,Setup Read to [0xD1] + ACK
0.576726000000000,I2C,0x09 + NAK
0.577047500000000,I2C,Setup Write to [0xD0] + ACK
0.577263750000000,I2C,0x6F + ACK
0.577516000000000,I2C,Setup Read to [0xD1] + ACK
0.577732250000000,I2C,0x00 + NAK
0.578053500000000,I2C,Setup Write to [0xD0] + ACK
0.578269750000000,I2C,0x6F + ACK
0.578522000000000,I2C,Setup Read to [0xD1] + ACK
0.578738250000000,I2C,0x26 + NAK
0.579059500000000,I2C,Setup Write to [0xD0] + ACK
0.579275750000000,I2C,0x6F + ACK
0.579528000000000,I2C,Setup Read to [0xD1] + ACK
0.579744250000000,I2C,0x53 + NAK
0.580065500000000,I2C,Setup Write to [0xD0] + ACK
0.580281750000000,I2C,0x6F + ACK
0.580534000000000,I2C,Setup Read to [0xD1] + ACK
0.580750250000000,I2C,0x46 + NAK
0.581071500000000,I2C,Setup Write to [0xD0] + ACK
0.581287750000000,I2C,0x6F + ACK
0.581540000000000,I2C,Setup Read to [0xD1] + ACK
0.581756250000000,I2C,0x00 + NAK
0.582077500000000,I2C,Setup Write to [0xD0] + ACK
0.582293750000000,I2C,0x6F + ACK
0.582546000000000,I2C,Setup Read to [0xD1] + ACK
0.582762250000000,I2C,0x00 + NAK
0.583083500000000,I2C,Setup Write to [0xD0] + ACK
0.583299750000000,I2C,0x6F + ACK
0.583552000000000,I2C,Setup Read to [0xD1] + ACK
0.583768250000000,I2C,0x2A + NAK
0.584089500000000,I2C,Setup Write to [0xD0] + ACK
0.584305750000000,I2C,0x6F + ACK
0.584558000000000,I2C,Setup Read to [0xD1] + ACK
0.584774000000000,I2C,0x40 + NAK
